ʔ	30	+	100 (13)
̚	29	+	100 (10)
ʷ	28	-	100 (6)
ō	25	+	100 (4)
̆	23	-	100 (3)
ç	22	+	100 (3)
˞	22	-	80.0 (4)
 	20	-	100 (2)
‌	14	+	100 (1)
̪	13	+	100 (1)
̶	13	-	100 (1)
â	13	-	50.0 (1)
̮	12	+	100 (1)
ě	12	-	100 (1)
x	11	+	100 (1)
ä	10	+	85.7142857143 (6)
ⁿ	10	-	100 (1)
ʉ	10	-	75.0 (6)
:	10	-	71.4285714286 (5)
̥	9	+	100 (1)
​	8	-	50.0 (1)
͉	8	+	100 (1)
y	8	-	66.6666666667 (8)
ɐ	7	+	81.8181818182 (18)
ʰ	7	+	84.6153846154 (44)
S	7	+	100 (1)
c	6	+	100 (1)
a	6	+	49.8482549317 (657)
v	6	+	53.2901833873 (494)
ʲ	6	-	50.0 (2)
ŭ	5	+	100 (1)
̃	5	+	66.6666666667 (2)
ī	5	+	75.0 (3)
ʌ	4	-	61.6621983914 (690)
ē	4	+	75.0 (3)
̯	4	-	55.5555555556 (45)
ŏ	4	+	100 (1)
ʃ	3	+	46.5909090909 (656)
ɔ	3	-	62.0754716981 (658)
ɘ	3	-	57.1428571429 (8)
g	3	-	57.6923076923 (45)
)	3	-	56.2237762238 (804)
U	3	+	100 (1)
 	2	-	55.7142857143 (39)
,	2	+	60.0 (6)
ɜ	2	-	59.865470852 (267)
ɨ	2	+	50.0 (37)
ð	2	+	55.4455445545 (56)
s	2	-	57.2663179441 (2518)
ʍ	2	+	66.6666666667 (4)
.	2	+	48.7492373398 (1598)
ɒ	2	-	58.3521444695 (517)
f	2	-	60.3125 (772)
n	2	+	47.1470127545 (2107)
r	2	-	55.7851239669 (810)
z	2	+	47.1875 (302)
ʊ	2	-	55.9748427673 (890)
θ	2	-	55.6603773585 (118)
ɡ	2	-	59.3837535014 (424)
e	2	+	47.0331043098 (753)
ᵻ	2	-	40.0 (12)
(	1	-	56.1844863732 (804)
d	1	-	55.6053811659 (1860)
'	1	-	52.0 (26)
̩	1	+	51.1013215859 (116)
ː	1	-	54.0050858233 (1699)
͡	1	-	51.6129032258 (48)
k	1	+	46.2270341207 (1409)
o	1	+	47.25 (189)
w	1	+	47.5138121547 (258)
̈	1	-	33.3333333333 (1)
ɚ	1	+	47.6404494382 (212)
ɾ	1	+	52.380952381 (44)
ʒ	1	-	55.8098591549 (317)
ɑ	1	+	46.1020211742 (479)
ɹ	1	-	55.4304635762 (1674)
ɝ	1	+	49.4845360825 (96)
u	1	+	45.6 (456)
